# ERC-20 impersonator denylist — (chain_id, address) pairs excluded from the token db.
# Generated by tools/scan_erc20_impersonators.py (offline symbol-collision scan).
# Each token wears a curated ticker at a non-canonical address vouched only by a
# low-trust source (overwhelmingly Li.Fi). Consumed by tools/build_erc20_db.py.
# Format: <chain_id> <address>  # <severity> <symbol> impersonates <real_symbol>
1 0x0000206329b97DB379d5E1Bf586BbDB969C63274  # MEDIUM USDA impersonates USDA (real 0x8A60E489004Ca22d775C5F2c657598278d17D9c2)
1 0x00Da8466B296E382E5Da2Bf20962D0cB87200c78  # MEDIUM NOVA impersonates NOVA (real 0x82967568A57625675b260Ebab1294038C9ACcC6e)
1 0x00F644CB516e53A09D02e5E2c49Fc7fC0cFC37A5  # MEDIUM CNDL impersonates CNDL (real 0xbc138bD20C98186CC0342C8e380953aF0cb48BA8)
1 0x012ba3ae1074aE43A34A14BCA5c4eD0Af01b6e53  # MEDIUM TRUMP impersonates TRUMP (real 0x576e2BeD8F7b46D34016198911Cdf9886f78bea7)
1 0x033ecD066376aFec5E6383BC9F1F15bE4C62dc89  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x0345173a92742e9dAF55d44Ac65e0D987b22379e  # MEDIUM METH impersonates METH (real 0xd5F7838F5C461fefF7FE49ea5ebaF7728bB0ADfa)
1 0x04bC0Ab673d88aE9dbC9DA2380cB6B79C4BCa9aE  # MEDIUM yBUSD impersonates YBUSD (real 0xFA59075DfCE274E028b58BdDFcC3D709960F594a)
1 0x056B269Eb1f75477a8666ae8C7fE01b64dD55eCc  # MEDIUM USD3 impersonates USD3 (real 0x0d86883FAf4FfD7aEb116390af37746F45b6f378)
1 0x068E3563b1c19590F822c0e13445c4FA1b9EEFa5  # MEDIUM WUSD impersonates WUSD (real 0x7Cd017ca5ddb86861FA983a34b5F495C6F898c41)
1 0x072B999FC3D82f9ea08B8AdbB9D63a980FF2b14D  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x07E156DA9F07CB59E220456a362c44c198B9E0fa  # MEDIUM WTF impersonates WTF (real 0xA68Dd8cB83097765263AdAD881Af6eeD479c4a33)
1 0x088ee5007C98a9677165D78dD2109AE4a3D04d0C  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x08A75dbC7167714CeaC1a8e43a8d643A4EDd625a  # MEDIUM WILD impersonates WILD (real 0x2a3bFF78B79A009976EeA096a51A948a3dC00e34)
1 0x09F098B155D561Fc9F7BcCc97038b7e3d20bAF74  # MEDIUM ZOO impersonates ZOO (real 0x0c08638473CAfbCa3beb113616A1871F4bfaD4f9)
1 0x0ba12138c55A7828b3fA1F9ef002fABdCB8996ae  # MEDIUM BANK impersonates BANK (real 0x24A6A37576377F63f194Caa5F518a60f45b42921)
1 0x0bBCEfA5F3630Cae34842cb9D9b36BC0d4257a0d  # MEDIUM KAI impersonates KAI (real 0xA045Fe936E26e1e1e1Fb27C1f2Ae3643acde0171)
1 0x0C7060BF06a78AAAAB3fac76941318A52a3F4613  # MEDIUM DEAD impersonates DEAD (real 0xf0197f10eA542A67914eCC0eC5304Dc9df1fAf6F)
1 0x0d20e86AbAb680C038Ac8bBDc1446585e67f8951  # MEDIUM CHAIN impersonates CHAIN (real 0xC4C2614E694cF534D407Ee49F8E44D125E4681c4)
1 0x0E3cC2c4FB9252d17d07C67135E48536071735D9  # MEDIUM ARTH impersonates ARTH (real 0x8CC0F052fff7eaD7f2EdCCcaC895502E884a8a71)
1 0x0Eee7f7319013df1f24F5eaF83004fCf9cF49245  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x112eba094E03dfAC405F3AfD2d3ec8Db883762A6  # MEDIUM MEMES impersonates MEMES (real 0x19AF07B52E5FAa0C2B1e11721c52AA23172fe2F5)
1 0x117d4288B3635021a3D612FE05a3Cbf5C717fEf2  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x12e51E77DAAA58aA0E9247db7510Ea4B46F9bEAd  # MEDIUM aYFI impersonates AYFI (real 0x5165d24277cD063F5ac44Efd447B27025e888f37)
1 0x14a52cf6B4F68431bd5D9524E4fcD6F41ce4ADe9  # MEDIUM SWAP impersonates SWAP (real 0xCC4304A31d09258b0029eA7FE63d032f52e44EFe)
1 0x1591E923e0836a3949b59637FBE8959F000894B9  # MEDIUM MAI impersonates MAI (real 0x24D73Bca2bD9c3a61E99dFc7cB86D3C379EbDEd7)
1 0x177d39AC676ED1C67A2b268AD7F1E58826E5B0af  # MEDIUM CDT impersonates CDT (real 0xCdB37A4fBC2Da5b78aA4E41a432792f9533e85Cc)
