# ERC-20 INACTIVITY denylist — (chain_id, address) pairs pruned for being dead.
# Generated from a 30-day Alchemy transfer screen + provenance triage
# (tools/scan_erc20_alchemy_activity.py -> tools/triage_erc20_activity.py).
# These are NOT scams (unlike erc20_impersonator_denylist.txt) — they are
# tokens with 0 transfers in the window and low provenance (Li.Fi/db-only or
# a single curated DEX list), carrying no blue-chip ticker and not CoinGecko-
# listed. Re-evaluable: a token reviving could justify removing its line.
# Format: <chain_id> <address>  # <tier> <symbol> <reason>
1 0x0000000000071821e8033345A7Be174647bE0706  # REVIEW SCRY 0 transfers; curated by lifi,optimism_super
1 0x00026E3311937BAd48D9Ab894c42134306E1698D  # SAFE_DROP PT-syrupUSDC-30OCT20 0 transfers; low provenance (lifi)
1 0x00A55375002f3cDa400383F479e7Cd57Bad029A9  # SAFE_DROP CNJ 0 transfers; low provenance (lifi)
1 0x00B6f2C15E4439749f192D10c70f65354848Cf4b  # SAFE_DROP 9SUSR 0 transfers; low provenance (lifi)
1 0x00D1793D7C3aAE506257Ba985b34C76AaF642557  # SAFE_DROP TACO 0 transfers; low provenance (lifi)
1 0x00e8Eb340f8AF587EEA6200D2081E31dC87285ac  # SAFE_DROP yvCurve-XAIFRAXBP3CR 0 transfers; low provenance (lifi)
1 0x00F2a835758B33f3aC53516Ebd69f3dc77B0D152  # REVIEW stataEthPYUSD 0 transfers; curated by 1inch_1,lifi
1 0x00fC270C9cc13e878Ab5363D00354bebF6f05C15  # SAFE_DROP VNXLU 0 transfers; low provenance (lifi)
1 0x01864aE3c7d5f507cC4c24cA67B4CABbDdA37EcD  # SAFE_DROP eUSDC-64 0 transfers; low provenance (lifi)
1 0x01B01C4A1F4C522aD341A9da5eaA48aF207ab3Ec  # SAFE_DROP yvCurve-pUSD-FRAXBP- 0 transfers; low provenance (lifi)
1 0x01d1a1cd5955B2feFb167e8bc200A00BfAda8977  # SAFE_DROP eWOETH-1 0 transfers; low provenance (lifi)
1 0x020810D775fC019480CD56ECb960389d3477039D  # SAFE_DROP GIL 0 transfers; low provenance (lifi)
1 0x02Eca910CB3A7D43eBC7e8028652ed5C6b70259B  # SAFE_DROP PTERIA 0 transfers; low provenance (lifi)
1 0x038dd0Eb275B7DE3B07884f1Fa106eD6423C45F2  # SAFE_DROP eWBTC-9 0 transfers; low provenance (lifi)
1 0x0391d9029713B1E9Ee1e241CB53D6BC89bAf299d  # SAFE_DROP ePT-tUSDe-18DEC2025- 0 transfers; low provenance (lifi)
1 0x0396BE0B0d2a88BEFF7680529e7F16dE393381e4  # SAFE_DROP PT-USD3-19MAR2026 0 transfers; low provenance (lifi)
1 0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE  # SAFE_DROP elixirUSDC 0 transfers; low provenance (lifi)
1 0x048459E4fb3402e58d8900aF7283Ad574B91d742  # REVIEW stataEthGHO 0 transfers; curated by 1inch_1
1 0x04aB43d32D0172C76F5287B6619f0aa50aF89303  # SAFE_DROP UNL 0 transfers; low provenance (lifi)
1 0x04B5E13000C6e9A3255Dc057091F3e3Eeee7b0f0  # SAFE_DROP iFUND 0 transfers; low provenance (lifi)
1 0x05329AAb081B125eEF7FbbC8b857428D478E692B  # SAFE_DROP yscrvUSD 0 transfers; low provenance (lifi)
1 0x05755D78caD24417c42960b93D3Bf821a92e4d82  # SAFE_DROP eUSDC-48 0 transfers; low provenance (lifi)
1 0x059Fc6723b9bF77DbF4283C8d7C90eA8Af44EF10  # SAFE_DROP sbMorphotBTC 0 transfers; low provenance (lifi)
1 0x05b4Af867DCFf2E45D75d04d52Cda919c7A27E08  # SAFE_DROP GOV 0 transfers; low provenance (lifi)
1 0x05E4De681283bDF7c35EF7dE4b87E465E80a6216  # SAFE_DROP GAM 0 transfers; low provenance (lifi)
1 0x06147110022B768BA8F99A8f385df11a151A9cc8  # SAFE_DROP ACE 0 transfers; low provenance (lifi)
1 0x071030A222514de5B1353d5a8C668516Af4e51FE  # SAFE_DROP PT-DBIT-23APR2026 0 transfers; low provenance (lifi)
1 0x0725475f51340f1B228bE7cB253bC7C2E3a3610B  # SAFE_DROP ROY-ST-autoUSD 0 transfers; low provenance (lifi)
1 0x076BdA095a434a7B00733115A0D679DE6478d9f8  # SAFE_DROP PT-YU-4SEP2025 0 transfers; low provenance (lifi)
1 0x07F9A54Dc5135B9878d6745E267625BF0E206840  # SAFE_DROP eUSDS-3 0 transfers; low provenance (lifi)
1 0x07FA101efde726E0956Edd2c4D5C8d3d1A5E9c53  # REVIEW RFWSTETH 0 transfers; curated by optimism_super
1 0x0829d2d5cC09d3d341E813c821B0cfAE272D9fb2  # SAFE_DROP ROCKS 0 transfers; low provenance (lifi)
1 0x0943a203d80d89D79Bf5EAa1780Fc72A016FB729  # REVIEW AKIRA 0 transfers; curated by optimism_super
1 0x09C8B191ff8c8d693Cd6B5b34C4e3FA11b01D499  # SAFE_DROP PT-stkwaEthUSDC.v1-3 0 transfers; low provenance (lifi)
1 0x09E4BDFb273245063eF5E800D891eFF7d04f9B83  # SAFE_DROP ETHPA 0 transfers; low provenance (lifi)
1 0x09FcE883cC16894274802c01e3b9cD90EAE4e43d  # SAFE_DROP eUSDT-28 0 transfers; low provenance (lifi)
1 0x0a35322c5C9Dd22fF592bfC5b134c5CE78154d10  # SAFE_DROP yvCurve-TOKEETH-f-f 0 transfers; low provenance (lifi)
1 0x0a6E18fB2842855C3AF925310B0F50a4BfA17909  # SAFE_DROP CHP 0 transfers; low provenance (lifi)
1 0x0Aa836a55c7C3513D15795E7ec23378Ef511BB9f  # SAFE_DROP eyUSD-3 0 transfers; low provenance (lifi)
1 0x0B2d98BBF3E38Df1D1B7Be7343732E32e8B1F818  # SAFE_DROP capUSDC 0 transfers; low provenance (lifi)
1 0x0b6A24A288eF6e1bFFd94EBe0EE026D80Cb4cE82  # REVIEW CUSD 0 transfers; curated by optimism_super
1 0x0B6F3c17e1626a7cBfA4302CE4E3c45522d23A83  # REVIEW WAD 0 transfers; curated by lifi,optimism_super
1 0x0bAfA383eA3726982FCf0507F63C9C3D02F28eEc  # SAFE_DROP dcaps 0 transfers; low provenance (lifi)
1 0x0bB2751a90fFF62e844b1521637DeD28F3f5046A  # SAFE_DROP 9SETHCore 0 transfers; low provenance (lifi)
1 0x0Bd7B7d511d9f60D5Fa5846A9B911168C5a82094  # SAFE_DROP yvCurve-alETHpxETH-f 0 transfers; low provenance (lifi)
1 0x0BF0D26A527384bcc4072A6e2bcA3fc79e49fa2d  # SAFE_DROP MYT 0 transfers; low provenance (lifi)
1 0x0BF43350076F95e0d16120b4D6bdfA1C9D50BDBD  # SAFE_DROP AGT 0 transfers; low provenance (lifi)
1 0x0bfEc35a1A3550Deed3F6fC76Dde7FC412729a91  # SAFE_DROP xKNCa 0 transfers; low provenance (lifi)
1 0x0c5F4687fF0FF614438dD75DB1C6db0E6669EfF2  # SAFE_DROP PT-msUSD-9APR2026 0 transfers; low provenance (lifi)
1 0x0c9b3aB1bd0CF0745625381F5C3Aa1CD9BBc7Abb  # SAFE_DROP EXN 0 transfers; low provenance (lifi)
1 0x0cae9e4d663793c2a2A0b211c1Cf4bBca2B9cAa7  # REVIEW MAMZN 0 transfers; curated by lifi,sushi_ethereum
1 0x0ccD5DD52Dee42B171a623478e5261C1eaaE092A  # SAFE_DROP DFM 0 transfers; low provenance (lifi)
1 0x0D1B386187be8e96680bbddBf7Bc05FC737f81b8  # SAFE_DROP erETH-2 0 transfers; low provenance (lifi)
1 0x0dACb47E00aed6AbAdE32c7B398e029393E0D848  # SAFE_DROP UNI-V2 0 transfers; low provenance (lifi)
1 0x0dC7d0192c148d7d2D6fa32DC280f953c0AD6A34  # REVIEW MetaCat 0 transfers; curated by sushi_ethereum
1 0x0e125e7eC4a537594EA9d481c30d36EE15203243  # SAFE_DROP YT-AID-30JUL2026 0 transfers; low provenance (lifi)
1 0x0E1fe60bc4aC0e3102343752ae7E49d01d444c0b  # SAFE_DROP HXN 0 transfers; low provenance (lifi)
1 0x0e99cC0535BB6251F6679Fa6E65d6d3b430e840B  # REVIEW MFB 0 transfers; curated by lifi,sushi_ethereum
1 0x0eCDd783dc7bF820614044B51862ED29714d2BA5  # SAFE_DROP MDZA 0 transfers; low provenance (lifi)
1 0x0f080Bf8Ba818001EcfB2f461708D8484323D0cE  # SAFE_DROP ePT-xUSD-18DEC2025-2 0 transfers; low provenance (lifi)
1 0x0F3a02BaEC9607f2b52B3ab629CBCEa2047E1124  # SAFE_DROP XPOP 0 transfers; low provenance (lifi)
1 0x0F3ADC247E91c3c50bC08721355A41037E89Bc20  # SAFE_DROP ANC 0 transfers; low provenance (lifi)
1 0x0f46eba0Bafe2739d9F3C43A48BB84BEE1f6644f  # SAFE_DROP TRSH 0 transfers; low provenance (lifi)
1 0x0f4c00139602AB502Bc7c1c0e71D6CB72A9FB0e7  # SAFE_DROP DTOP 0 transfers; low provenance (lifi)
1 0x0F72964Fa4b766521d84107991E837c30D0EF2b1  # REVIEW TETU 0 transfers; curated by optimism_super
1 0x0F93f35c0664A6a8231ccAe7E22f652c9c075b32  # SAFE_DROP ePT-YU-4SEP2025-1 0 transfers; low provenance (lifi)
1 0x0ff5A8451A839f5F0BB3562689D9A44089738D11  # SAFE_DROP rDPX 0 transfers; low provenance (lifi)
1 0x0fF80a1708191C0Da8Aa600Fa487f7aC81D7818c  # SAFE_DROP rkl 0 transfers; low provenance (lifi)
1 0x102e941B77Bcaa7e35D368CaFE51eF8F79c8d1Ef  # REVIEW LIZ 0 transfers; curated by optimism_super
1 0x1098269bFc70b26DeA43f18F812D2b9854E874bA  # REVIEW OH-GEEZ 0 transfers; curated by sushi_ethereum
1 0x10a099BAf814B5FDa138c4e6b60eD42c0d975be8  # SAFE_DROP PT-wsrUSD-30OCT2025 0 transfers; low provenance (lifi)
1 0x10B3AAF66D90Cb54fca62Dd37d17022555399EE1  # SAFE_DROP AICODE 0 transfers; low provenance (lifi)
1 0x10e0B2B42874ADF8c29D5F900c0D18b61f048ffb  # SAFE_DROP eUSDC-44 0 transfers; low provenance (lifi)
1 0x1132065009850C72E27B7950C0f9285d1D103589  # SAFE_DROP PT-mMEV-31JUL2025 0 transfers; low provenance (lifi)
1 0x117576B8854a03aB7C3dF1Cf1cd8E04767BfA866  # SAFE_DROP estUSD-1 0 transfers; low provenance (lifi)
1 0x118078288f681389070A9D89D6832b302216AcE3  # SAFE_DROP PT-sUSDa-18JUN2026 0 transfers; low provenance (lifi)
1 0x11b0a8C0FA626627601eD518c3538a39d92D609E  # SAFE_DROP YGY 0 transfers; low provenance (lifi)
1 0x122e9eA082D8c060Bb1a3476aa18B9E739fBbAAf  # SAFE_DROP eUSDT-19 0 transfers; low provenance (lifi)
1 0x122f96D596384885B54BCcdddF2125018c421d83  # SAFE_DROP CBIX 0 transfers; low provenance (lifi)
1 0x126a427596ab9F74F188b453A2F514344A0D04Bd  # SAFE_DROP ARF 0 transfers; low provenance (lifi)
1 0x1287c0509df9a475Ef178471aB2132b9dfD312B3  # SAFE_DROP LADZ 0 transfers; low provenance (lifi)
1 0x128ad1ad707c3B36e6F2ac9739f9dF7516FdB592  # SAFE_DROP ALFA 0 transfers; low provenance (lifi)
1 0x12fd502e2052CaFB41eccC5B596023d9978057d6  # SAFE_DROP xBTC 0 transfers; low provenance (lifi)
1 0x13120b7599DdF33782c748A847cc1d3c96387Ecd  # SAFE_DROP upYFI 0 transfers; low provenance (lifi)
1 0x1321f1f1aa541A56C31682c57b80ECfCCd9bB288  # REVIEW ARCx 0 transfers; curated by sushi_ethereum
1 0x13339fD07934CD674269726EdF3B5ccEE9DD93de  # SAFE_DROP CUR 0 transfers; low provenance (lifi)
1 0x1350Fbe8Ce27762ec19134bf8FC405a427fe9Bf1  # SAFE_DROP TRIPS 0 transfers; low provenance (lifi)
1 0x1351986732367ff6B51784c6A75f63502dE13a9a  # REVIEW MOM 0 transfers; curated by optimism_super
1 0x136389D329968bD82efe05F0911Eeb20eE74A138  # SAFE_DROP PT-USD0++-27NOV2025 0 transfers; low provenance (lifi)
1 0x1394841afe9cb4Eaad8d60278AF25ecbe179C5Af  # SAFE_DROP hyperETHd 0 transfers; low provenance (lifi)
1 0x13AA4f80AD5F06cE4f1A3a3cA58C37059F0EE4c5  # SAFE_DROP sdUSDCv1 0 transfers; low provenance (lifi)
1 0x13B02c8dE71680e71F0820c996E4bE43c2F57d15  # REVIEW mQQQ 0 transfers; curated by lifi,sushi_ethereum
1 0x148958884544a8AD7c4895E6FFe2723932e0523a  # SAFE_DROP LORC 0 transfers; low provenance (lifi)
1 0x149EE12310D499F701B6A5714eDAd2C832008fd2  # REVIEW stataEthCRV 0 transfers; curated by 1inch_1,lifi
1 0x14d10003807AC60d07BB0ba82cAeaC8d2087c157  # SAFE_DROP iDEFI 0 transfers; low provenance (lifi)
1 0x14EB60F5f270B059B0c788De0Ddc51Da86f8a06d  # SAFE_DROP KCAL 0 transfers; low provenance (lifi)
1 0x153A381D1207862cA003f68600462fAa66A828a7  # SAFE_DROP ANIMA 0 transfers; low provenance (lifi)
1 0x15492208Ef531EE413BD24f609846489a082F74C  # SAFE_DROP TREKS 0 transfers; low provenance (lifi)
1 0x155040625D7ae3e9caDA9a73E3E44f76D3Ed1409  # SAFE_DROP REVO 0 transfers; low provenance (lifi)
1 0x158079Ee67Fce2f58472A96584A73C7Ab9AC95c1  # SAFE_DROP cREP 0 transfers; low provenance (lifi)
1 0x1590ABe3612Be1CB3ab5B0f28874D521576e97Dc  # REVIEW Pixel 0 transfers; curated by sushi_ethereum
1 0x15dDC249a326698C5A001ab6A92b76F7aCC091e0  # SAFE_DROP YT-mRE7BTC-22JAN2026 0 transfers; low provenance (lifi)
1 0x1614F18Fc94f47967A3Fbe5FfcD46d4e7Da3D787  # SAFE_DROP PAID 0 transfers; low provenance (lifi)
1 0x16d84F98765Ed86501a052D47E76BFefb2D36206  # SAFE_DROP esrUSD-1 0 transfers; low provenance (lifi)
1 0x174897edD3ce414084A009d22db31C7b7826400d  # SAFE_DROP JOON 0 transfers; low provenance (lifi)
1 0x17525E4f4Af59fbc29551bC4eCe6AB60Ed49CE31  # REVIEW YPIE 0 transfers; curated by lifi,sushi_ethereum
